imdb_id,imdb_rating,imdb_votes,R
tt6747420,5.7,1369,5.57076764021711
tt6527426,5.5,21456,5.5
tt7212726,6.3,15829,6.190883299689017
tt5956100,6.0,19760,5.943845462713388
tt1806913,4.9,7330,5.052594099694812
tt5456546,3.8,7418,4.228513813268805
tt5764024,5.1,3350,5.27094017094017
tt6334874,4.5,563,5.316193274567418
tt5460276,7.1,22695,6.941238340940663
tt3405236,6.8,37609,6.71897080455758
tt5970844,4.0,15980,4.202922077922078
tt6467380,6.8,3960,6.296904024767802
tt6296236,6.7,2268,6.070805369127517
tt6299040,7.6,10332,7.190866583541148
tt6467738,6.2,1024,5.703405221339387
tt4909752,5.7,3393,5.615153572034617
tt6499258,5.4,53,5.497924010967489
tt5756052,5.6,82,5.503175832687838
tt6277440,6.2,8868,6.046059113300494
tt6206564,7.5,8295,7.0368226030569705
tt5896934,2.9,304,5.218116975748931
tt5046500,5.2,165,5.481425891181989
tt5502766,6.1,3179,5.835868991019545
tt5785200,2.7,636,4.932142857142858
tt6611040,7.3,51,5.5359858878871036
tt6058394,6.5,1132,5.811674008810572
tt6170954,6.3,4791,6.025689205870251
tt5997928,7.1,1487,6.096739403059944
tt5785116,5.5,2347,5.5
tt5775220,4.0,1287,4.990229733298126
tt5543746,4.5,321,5.386210563629919
tt5742874,4.9,1688,5.258166189111748
tt6642396,6.0,3309,5.784816663797555
tt5474042,4.3,5577,4.671425034047295
tt5472374,5.8,3266,5.669927159209157
tt4640206,8.6,7239,7.804230413800184
tt5764096,7.8,18315,7.523756906077348
tt5544662,3.5,212,5.343657817109144
tt4552486,3.9,291,5.3331780723754925
tt4493550,5.9,64,5.509984399375975
tt6033536,5.2,276,5.470172910662824
tt5542802,4.1,2667,4.7773756531836655
tt6537508,5.5,1514,5.5
tt5882970,4.0,12911,4.243332684446175
tt3611266,5.9,2164,5.685591766723842
tt6349528,5.0,87,5.483185156551992
tt4129428,6.4,8162,6.188970174451323
tt4287778,4.4,196,5.420029673590505
tt4807830,6.8,5583,6.397921563775825
tt4307132,8.3,45,5.549508840864441
